panel_num,total_task_time_s,head_x_m,head_y_m,head_z_m,head_x_rotation_deg,head_y_rotation_deg,head_z_rotation_deg,hand_x_m,hand_y_m,hand_z_m,hand_x_rotation_deg,hand_y_rotation_deg,hand_z_rotation_deg,error,time stamp
0,,0.0,0.333,0.522,0.0,0.0,0.0,0.27,1.423,0.5820000000000001,0.0,0.0,0.0,0,2022-09-27 PM 5:51:27
0,time,0.0028573,1.471021,0.2822436,348.2743,359.6873,358.8714,0.018056,1.14175,0.6627844999999999,331.7226,315.5627,18.80091,0,2022-09-27 PM 5:51:28
0,time,0.0028573,1.471021,0.2822436,348.2743,359.6873,358.8714,0.018056,1.14175,0.6627844999999999,331.7226,315.5627,18.80091,0,2022-09-27 PM 5:51:28
0,time,0.0028573,1.471021,0.2822436,348.2743,359.6873,358.8714,0.018056,1.14175,0.6627844999999999,331.7226,315.5627,18.80091,0,2022-09-27 PM 5:51:28
0,time,0.0024455,1.470318,0.2827445,348.5738,359.5574,358.8803,0.018136,1.1415810000000002,0.6629319,331.7192,315.6446,18.69863,0,2022-09-27 PM 5:51:28
0,time,0.0013445,1.46701,0.2841372,350.2434,359.1964,358.9439,0.0190509,1.140565,0.662777,331.6981,315.6707,18.65903,0,2022-09-27 PM 5:51:28
0,time,-0.0029597,1.451841,0.2964993,357.7091,358.0079,359.3165,0.0184985,1.1418460000000001,0.66354,331.8442,315.7748,18.6227,0,2022-09-27 PM 5:51:28
0,time,-0.0029597,1.451841,0.2964993,357.7091,358.0079,359.3165,0.0184985,1.1418460000000001,0.66354,331.8442,315.7748,18.6227,0,2022-09-27 PM 5:51:28
0,time,-0.0034994,1.449597,0.298979,358.7663,358.0134,359.4731,0.0186036,1.141847,0.6640828999999999,331.8148,315.8842,18.53787,0,2022-09-27 PM 5:51:29
0,time,-0.0053419,1.443807,0.3042063,1.2334,357.9984,359.8452,0.0188387,1.1419080000000001,0.6640683000000001,331.7317,315.871,18.55051,0,2022-09-27 PM 5:51:29
0,time,-0.0082182,1.438652,0.3086331,3.236749,357.8712,0.3317802,0.0218192,1.1508310000000002,0.6641467999999999,328.7918,316.8103,17.82279,0,2022-09-27 PM 5:51:29
0,time,-0.0108816,1.433985,0.3115005,4.780643,357.9642,1.31117,0.0275135,1.186863,0.6624532000000001,315.4008,314.9557,21.57062,0,2022-09-27 PM 5:51:29
0,time,-0.0135486,1.431949,0.3124641,5.632303,358.2288,1.682606,0.0109186,1.210169,0.6705371,308.9425,304.827,36.36926,0,2022-09-27 PM 5:51:29
0,time,-0.0174005,1.432707,0.3130345,5.230939,358.2366,2.260002,-0.011539499999999998,1.2252610000000002,0.6869388000000001,309.7104,300.8355,47.78429,0,2022-09-27 PM 5:51:29
0,time,-0.0224022,1.432749,0.3143476,5.267884,358.4498,2.981461,-0.020582100000000002,1.248634,0.688825,305.4539,295.6224,55.48673,0,2022-09-27 PM 5:51:29
0,time,-0.027864,1.430865,0.3156627,5.812183,358.914,3.592064,-0.023171,1.265501,0.6925448999999999,302.2381,293.6534,54.28721,0,2022-09-27 PM 5:51:29
0,time,-0.0334551,1.429743,0.3164107,6.054674,359.4854,3.927454,-0.0274064,1.27621,0.7020793999999999,299.7195,291.3989,55.18764,0,2022-09-27 PM 5:51:29
0,time,-0.039205,1.429954,0.3169564,5.903704,0.116707,4.517352,-0.030956300000000003,1.288813,0.7244892999999999,296.4577,293.0714,54.14293,0,2022-09-27 PM 5:51:29
0,time,-0.0459636,1.431436,0.3192807,5.269525,359.9065,5.128597,-0.0306167,1.301501,0.7533125999999999,292.2077,300.6723,47.78711,0,2022-09-27 PM 5:51:30
0,time,-0.0518705,1.431695,0.3236424,5.200629,359.2379,5.594934,-0.033333299999999996,1.3096700000000001,0.7780431000000001,291.068,303.6042,46.14653,0,2022-09-27 PM 5:51:30
0,time,-0.0554896,1.430132,0.3291167,5.816171,358.8958,6.157978,-0.027810900000000003,1.317012,0.7979103999999999,290.1891,311.6067,38.70731,0,2022-09-27 PM 5:51:30
0,time,-0.0563577,1.428238,0.33293,6.496156,359.0398,6.318044,-0.017343,1.323857,0.8143879,289.7273,318.7986,32.53836,0,2022-09-27 PM 5:51:30
0,time,-0.0552877,1.427589,0.3342528,6.696969,359.4135,6.274428,-0.0046064999999999995,1.325553,0.8324822999999999,291.0797,330.2348,21.803,0,2022-09-27 PM 5:51:30
0,time,-0.0544481,1.428138,0.3346672,6.461956,359.4631,6.097455,0.0011097000000000017,1.326983,0.8415944,291.7431,332.6363,19.28775,0,2022-09-27 PM 5:51:30
0,time,-0.0536884,1.428366,0.3356001,6.369173,359.5851,6.024457,-0.002649499999999999,1.3263980000000002,0.8470063999999999,293.2806,330.5184,21.60479,0,2022-09-27 PM 5:51:30
0,time,-0.0534692,1.428184,0.337132,6.483389,359.64,5.950252,-0.007218599999999999,1.323234,0.8523613000000001,294.8627,332.2384,18.99462,0,2022-09-27 PM 5:51:30
0,time,-0.0538629,1.428154,0.3386967,6.459568,359.4816,5.893904,-0.013682299999999998,1.318461,0.8595508000000001,296.8797,331.4078,18.77555,0,2022-09-27 PM 5:51:30
0,time,-0.0548003,1.427648,0.3405907,6.639271,359.3242,5.954151,-0.014308699999999997,1.312826,0.8752340999999999,300.3134,335.1651,14.69943,0,2022-09-27 PM 5:51:30
0,time,-0.0562396,1.427176,0.3429047,6.814685,359.1237,6.171817,-0.014853799999999997,1.3121960000000001,0.8851808999999999,301.9631,337.5198,12.04262,0,2022-09-27 PM 5:51:31
0,time,-0.0576891,1.426949,0.3449612,6.99431,358.8742,6.288834,-0.013791500000000002,1.3115020000000002,0.8956440999999999,304.8373,342.4894,8.283541,0,2022-09-27 PM 5:51:31
0,time,-0.0584782,1.427468,0.345896,6.750045,358.6815,6.377632,-0.016744699999999998,1.310392,0.9028565,306.4667,342.2259,9.826142,0,2022-09-27 PM 5:51:31
0,time,-0.059073,1.428174,0.3459306,6.399692,358.6104,6.399044,-0.0184448,1.309841,0.9077464,307.1501,342.4408,11.96427,0,2022-09-27 PM 5:51:31
0,time,-0.0588891,1.429143,0.3456861,5.976636,358.6646,6.404985,-0.027908699999999998,1.3083230000000001,0.9075354,307.8599,335.4458,26.60369,0,2022-09-27 PM 5:51:31
