panel_num,total_task_time_s,head_x_m,head_y_m,head_z_m,head_x_rotation_deg,head_y_rotation_deg,head_z_rotation_deg,hand_x_m,hand_y_m,hand_z_m,hand_x_rotation_deg,hand_y_rotation_deg,hand_z_rotation_deg,error,time stamp
0,,0.0,0.26,0.522,0.0,0.0,0.0,0.29,1.36,0.5720000000000001,0.0,0.0,0.0,0,2022-06-09 ì˜¤í›„ 3:38:17
0,time,0.0534328,1.35957,0.4251437,357.0404,350.6339,355.5558,0.1409852,1.310076,0.6540678000000001,294.3408,15.56756,341.7751,0,2022-06-09 ì˜¤í›„ 3:38:18
0,time,0.0546628,1.360291,0.4241253,356.5508,350.9946,355.5311,0.141821,1.311873,0.6523288,293.9562,15.40143,342.0201,0,2022-06-09 ì˜¤í›„ 3:38:18
0,time,0.055604,1.360867,0.4235198,355.9945,351.3866,355.252,0.1421823,1.312019,0.6522133,293.9457,15.36031,342.1511,0,2022-06-09 ì˜¤í›„ 3:38:18
0,time,0.055207,1.362043,0.4224269,355.2832,350.8988,355.3334,0.1425423,1.3123850000000001,0.6518065000000001,293.967,14.7354,342.7537,0,2022-06-09 ì˜¤í›„ 3:38:18
0,time,0.0549521,1.362494,0.4223157,355.0196,350.7825,355.5118,0.1423836,1.312902,0.6517954,293.9297,14.46727,343.1128,0,2022-06-09 ì˜¤í›„ 3:38:18
0,time,0.053794,1.363639,0.4214923,354.3923,350.5231,355.961,0.1426773,1.311233,0.651491,294.0155,14.5366,342.9797,0,2022-06-09 ì˜¤í›„ 3:38:18
0,time,0.0513678,1.365673,0.4199176,353.2209,349.5487,356.4778,0.1420038,1.313171,0.6515718,294.104,14.18136,343.4192,0,2022-06-09 ì˜¤í›„ 3:38:18
0,time,0.0474908,1.36813,0.4185656,351.7174,347.3813,357.3148,0.1416364,1.312926,0.6516321,293.9816,13.93365,343.6813,0,2022-06-09 ì˜¤í›„ 3:38:19
0,time,0.0400654,1.371451,0.4150513,349.7559,343.0857,359.3175,0.1421495,1.312945,0.6519250000000001,294.084,13.99552,343.5838,0,2022-06-09 ì˜¤í›„ 3:38:19
0,time,0.0346238,1.372802,0.4107904,348.8318,340.8684,1.086208,0.1422499,1.312712,0.6524117,294.1994,13.75168,343.8503,0,2022-06-09 ì˜¤í›„ 3:38:19
0,time,0.0313379,1.374351,0.4075616,347.7718,340.196,2.557535,0.1410721,1.31335,0.6514789000000001,293.8882,13.39549,344.3494,0,2022-06-09 ì˜¤í›„ 3:38:19
0,time,0.029251,1.376292,0.405164,346.2823,340.2975,3.808366,0.1388619,1.313404,0.6507216,293.4703,11.67389,345.9802,0,2022-06-09 ì˜¤í›„ 3:38:19
0,time,0.0284243,1.377751,0.4028267,345.1542,340.6196,4.274641,0.1362063,1.3135290000000002,0.6501832000000001,293.3148,10.34797,347.0926,0,2022-06-09 ì˜¤í›„ 3:38:19
0,time,0.029368,1.379155,0.4010645,343.9361,341.262,4.32457,0.1355484,1.312801,0.6509271000000001,293.4771,10.12897,347.317,0,2022-06-09 ì˜¤í›„ 3:38:19
0,time,0.031385,1.378939,0.4001248,343.8665,342.1805,4.235546,0.1365256,1.312759,0.6517134,293.8386,10.4751,347.2035,0,2022-06-09 ì˜¤í›„ 3:38:19
0,time,0.0331351,1.378246,0.4002386,344.242,342.6105,3.776245,0.1395548,1.3138040000000002,0.6507297000000001,293.59,12.05929,345.7971,0,2022-06-09 ì˜¤í›„ 3:38:19
0,time,0.034554,1.376918,0.4016197,345.059,343.2682,3.390368,0.1413262,1.314562,0.6503874000000001,293.4278,12.25029,345.8597,0,2022-06-09 ì˜¤í›„ 3:38:19
0,time,0.0356813,1.375205,0.4037117,346.2951,344.367,2.654809,0.1411938,1.314372,0.6507391,293.3882,12.22702,346.0409,0,2022-06-09 ì˜¤í›„ 3:38:20
0,time,0.0364169,1.373049,0.4063883,347.9792,345.4427,1.782654,0.1393112,1.3139910000000001,0.6507103000000001,293.2837,11.25927,346.8969,0,2022-06-09 ì˜¤í›„ 3:38:20
0,time,0.0391609,1.369556,0.4098712,350.4031,347.3488,0.5070768,0.1379537,1.3136960000000002,0.6503165000000001,293.265,10.72826,347.3328,0,2022-06-09 ì˜¤í›„ 3:38:20
0,time,0.0422254,1.367426,0.4128877,351.9023,348.7371,359.5259,0.1384536,1.313625,0.6509184,293.4534,11.35419,346.8206,0,2022-06-09 ì˜¤í›„ 3:38:20
0,time,0.0454072,1.365466,0.4155834,353.2376,349.84,358.9598,0.1402722,1.313166,0.652078,293.7355,12.27853,346.1931,0,2022-06-09 ì˜¤í›„ 3:38:20
0,time,0.0477644,1.363784,0.4176524,354.2417,350.4232,358.1227,0.1430636,1.313018,0.6531300000000001,294.1532,13.69782,344.9697,0,2022-06-09 ì˜¤í›„ 3:38:20
0,time,0.0496615,1.363018,0.4194083,354.8526,351.0182,357.7115,0.1435625,1.313055,0.6524884000000001,293.7129,13.62597,345.2081,0,2022-06-09 ì˜¤í›„ 3:38:20
0,time,0.0512464,1.362282,0.4206016,355.2343,351.5807,357.3308,0.1426314,1.3120150000000002,0.6538415000000001,293.925,12.87876,345.9951,0,2022-06-09 ì˜¤í›„ 3:38:20
0,time,0.0529119,1.362301,0.4215799,355.2138,352.3347,357.1902,0.1428423,1.3106410000000002,0.6559284000000001,294.6328,12.97294,346.0443,0,2022-06-09 ì˜¤í›„ 3:38:20
0,time,0.0551852,1.362384,0.4220846,355.1706,353.7274,356.6345,0.1443946,1.310159,0.6576237,295.0558,13.81462,345.5709,0,2022-06-09 ì˜¤í›„ 3:38:20
0,time,0.0575306,1.361856,0.4223105,355.3858,355.0545,356.1163,0.1458049,1.3102340000000001,0.6581949,295.2234,14.38983,345.1723,0,2022-06-09 ì˜¤í›„ 3:38:21
0,time,0.0591128,1.361951,0.4225988,355.2876,355.6406,355.9451,0.1465086,1.311326,0.6566995,294.7657,14.57053,344.9632,0,2022-06-09 ì˜¤í›„ 3:38:21
0,time,0.0598072,1.363224,0.4229725,354.506,355.907,355.9137,0.1476505,1.3113210000000002,0.6562927000000001,294.5353,14.50253,345.2663,0,2022-06-09 ì˜¤í›„ 3:38:21
0,time,0.0600272,1.364901,0.422695,353.4759,356.0442,355.9433,0.1503823,1.310473,0.6591087,295.1774,15.47971,344.9616,0,2022-06-09 ì˜¤í›„ 3:38:21
0,time,0.0593942,1.365732,0.4220645,352.9046,355.9768,356.2044,0.1532729,1.310264,0.6604914000000001,295.4651,16.52251,344.6821,0,2022-06-09 ì˜¤í›„ 3:38:21
0,time,0.0590568,1.365726,0.4214472,352.7941,356.1305,356.2716,0.1551329,1.3108440000000001,0.6609746000000001,295.2362,16.8093,345.0763,0,2022-06-09 ì˜¤í›„ 3:38:21
0,time,0.0591084,1.36598,0.421387,352.6429,356.3789,356.2961,0.1584931,1.31132,0.661633,294.9312,17.35412,345.5741,0,2022-06-09 ì˜¤í›„ 3:38:21
0,time,0.0593849,1.365839,0.421811,352.7831,356.6005,356.2965,0.1620263,1.311587,0.6626972000000001,294.7579,17.72602,346.4023,0,2022-06-09 ì˜¤í›„ 3:38:21
0,time,0.0598407,1.365716,0.4220936,352.946,356.6062,356.3867,0.1678104,1.311593,0.6642538,295.149,19.90842,345.2604,0,2022-06-09 ì˜¤í›„ 3:38:21
0,time,0.0594481,1.366059,0.4222917,352.8351,355.8808,356.1099,0.1731762,1.311601,0.6652878000000001,295.8546,22.70559,343.1022,0,2022-06-09 ì˜¤í›„ 3:38:21
0,time,0.0604085,1.36831,0.4223792,351.4308,355.5119,355.6611,0.1745031,1.3105570000000002,0.6665432,296.1271,23.28407,342.821,0,2022-06-09 ì˜¤í›„ 3:38:22
0,time,0.0625108,1.370135,0.4218382,350.2354,355.3833,355.5952,0.174802,1.309984,0.6670446000000001,296.0803,22.83068,343.2554,0,2022-06-09 ì˜¤í›„ 3:38:22
0,time,0.064355,1.37072,0.4208198,349.6144,355.1658,354.8087,0.1766761,1.3102500000000001,0.6656231,295.8826,23.85321,342.4022,0,2022-06-09 ì˜¤í›„ 3:38:22
0,time,0.0662062,1.371735,0.420036,348.8111,354.5995,354.1207,0.1781906,1.3107250000000001,0.6641855000000001,295.2494,23.98133,342.5513,0,2022-06-09 ì˜¤í›„ 3:38:22
0,time,0.0679582,1.372723,0.4196945,348.0955,353.5709,353.7415,0.1767328,1.310286,0.6639820000000001,294.4092,22.51979,345.4726,0,2022-06-09 ì˜¤í›„ 3:38:22
0,time,0.0686672,1.372982,0.4191068,347.5844,351.5251,353.5515,0.17673940000000002,1.3104040000000001,0.6623651,293.8501,23.24584,345.463,0,2022-06-09 ì˜¤í›„ 3:38:22
0,time,0.0693687,1.373357,0.4187767,347.2967,350.7626,353.434,0.1778787,1.3099390000000002,0.6627938000000001,294.0709,23.81425,344.836,0,2022-06-09 ì˜¤í›„ 3:38:22
0,time,0.0700223,1.373543,0.4186758,347.0734,351.0341,353.43,0.1792033,1.3097050000000001,0.6632362,294.3025,24.33785,344.3743,0,2022-06-09 ì˜¤í›„ 3:38:22
0,time,0.0696307,1.373795,0.4186077,347.0613,351.3105,353.4895,0.18002980000000002,1.310071,0.6634878000000001,294.5417,24.92596,343.8767,0,2022-06-09 ì˜¤í›„ 3:38:22
0,time,0.0675623,1.373707,0.4182609,347.1497,350.7789,353.583,0.17857050000000002,1.30976,0.6636660000000001,294.5893,24.39312,344.2233,0,2022-06-09 ì˜¤í›„ 3:38:22
0,time,0.0653492,1.373872,0.4182582,347.1574,350.5425,353.9376,0.1752177,1.3088080000000002,0.6642723,294.5516,23.04936,345.2823,0,2022-06-09 ì˜¤í›„ 3:38:23
0,time,0.0647265,1.373602,0.4180467,347.2801,350.6005,354.136,0.17400390000000002,1.3090730000000002,0.6640348,294.4906,22.52151,345.5991,0,2022-06-09 ì˜¤í›„ 3:38:23
0,time,0.0639021,1.372904,0.4182095,347.6564,350.4657,354.3271,0.175146,1.3095350000000001,0.663668,294.4225,23.28946,345.0667,0,2022-06-09 ì˜¤í›„ 3:38:23
0,time,0.0639319,1.371522,0.4182876,348.5084,350.6064,354.3388,0.1758239,1.309739,0.6637509,294.4719,23.4983,345.049,0,2022-06-09 ì˜¤í›„ 3:38:23
