panel_num,total_task_time_s,head_x_m,head_y_m,head_z_m,head_x_rotation_deg,head_y_rotation_deg,head_z_rotation_deg,hand_x_m,hand_y_m,hand_z_m,hand_x_rotation_deg,hand_y_rotation_deg,hand_z_rotation_deg,error,time stamp
0,,0.0,0.5,0.522,0.0,0.0,0.0,0.2,1.6,0.53,0.0,0.0,0.0,0,2022-04-05 PM 5:45:09
0,time,-0.014202,1.371127,0.4810588,5.101637,347.1457,356.8642,-0.0990603,1.0984912,0.7846507,344.5805,289.611,344.6424,0,2022-04-05 PM 5:45:10
0,time,-0.014202,1.371127,0.4810588,5.101637,347.1457,356.8642,-0.0990603,1.0984912,0.7846507,344.5805,289.611,344.6424,0,2022-04-05 PM 5:45:10
0,time,-0.014202,1.371127,0.4810588,5.101637,347.1457,356.8642,-0.0990603,1.0984912,0.7846507,344.5805,289.611,344.6424,0,2022-04-05 PM 5:45:10
0,time,-0.0127723,1.374929,0.4759079,3.480181,347.6509,356.9756,-0.05,0.6,0.53,0.0,0.0,0.0,0,2022-04-05 PM 5:45:10
0,time,-0.0122722,1.376332,0.4745563,2.732634,347.7513,356.9995,-0.05,0.6,0.53,0.0,0.0,0.0,0,2022-04-05 PM 5:45:10
0,time,-0.0095932,1.383099,0.4674466,358.9725,349.0284,357.1536,-0.05,0.6,0.53,0.0,0.0,0.0,0,2022-04-05 PM 5:45:10
0,time,-0.0095932,1.383099,0.4674466,358.9725,349.0284,357.1536,-0.05,0.6,0.53,0.0,0.0,0.0,0,2022-04-05 PM 5:45:10
0,time,-0.0090269,1.384318,0.4662006,358.2187,349.3663,357.2421,-0.05,0.6,0.53,0.0,0.0,0.0,0,2022-04-05 PM 5:45:10
0,time,-0.0065827,1.387516,0.4614655,356.4051,350.9256,357.4007,-0.05,0.6,0.53,0.0,0.0,0.0,0,2022-04-05 PM 5:45:10
0,time,-0.0045046,1.387501,0.4581971,356.449,351.9926,357.107,-0.05,0.6,0.53,0.0,0.0,0.0,0,2022-04-05 PM 5:45:10
0,time,-0.0025576,1.386577,0.4576995,356.9807,352.6916,356.7958,-0.05,0.6,0.53,0.0,0.0,0.0,0,2022-04-05 PM 5:45:10
0,time,0.0,1.384583,0.4585419,358.2562,353.6595,356.3143,-0.05,0.6,0.53,0.0,0.0,0.0,0,2022-04-05 PM 5:45:10
0,time,0.0029113,1.382082,0.4614786,359.7502,354.6758,355.8049,-0.05,0.6,0.53,0.0,0.0,0.0,0,2022-04-05 PM 5:45:11
0,time,0.0049422,1.378833,0.4657547,1.521592,355.2218,355.348,-0.05,0.6,0.53,0.0,0.0,0.0,0,2022-04-05 PM 5:45:11
0,time,0.0069551,1.376696,0.4701509,2.620867,355.9648,355.0184,-0.05,0.6,0.53,0.0,0.0,0.0,0,2022-04-05 PM 5:45:11
0,time,0.0091068,1.379762,0.4739412,0.6453977,356.9491,355.3362,-0.05,0.6,0.53,0.0,0.0,0.0,0,2022-04-05 PM 5:45:11
0,time,0.0111729,1.387578,0.47454,356.0287,358.243,355.8486,-0.05,0.6,0.53,0.0,0.0,0.0,0,2022-04-05 PM 5:45:11
0,time,0.0125805,1.392139,0.4709162,353.1662,359.3315,356.1901,-0.05,0.6,0.53,0.0,0.0,0.0,0,2022-04-05 PM 5:45:11
0,time,0.0130225,1.394816,0.465351,351.536,359.7633,356.3665,-0.05,0.6,0.53,0.0,0.0,0.0,0,2022-04-05 PM 5:45:11
0,time,0.0129315,1.397791,0.4602449,349.8666,359.723,356.7199,-0.05,0.6,0.53,0.0,0.0,0.0,0,2022-04-05 PM 5:45:11
0,time,0.0128003,1.401911,0.4560117,347.5727,359.0927,356.9868,-0.05,0.6,0.53,0.0,0.0,0.0,0,2022-04-05 PM 5:45:11
0,time,0.0126656,1.404932,0.4526457,345.5739,358.2394,357.006,-0.05,0.6,0.53,0.0,0.0,0.0,0,2022-04-05 PM 5:45:11
0,time,0.0118104,1.406457,0.4508018,344.7371,357.1723,357.1776,-0.05,0.6,0.53,0.0,0.0,0.0,0,2022-04-05 PM 5:45:12
0,time,0.0105339,1.4065,0.4490759,345.2555,355.8388,357.538,-0.05,0.6,0.53,0.0,0.0,0.0,0,2022-04-05 PM 5:45:12
0,time,0.0092975,1.405452,0.4477134,345.7238,354.9962,357.368,-0.05,0.6,0.53,0.0,0.0,0.0,0,2022-04-05 PM 5:45:12
0,time,0.0076108,1.401085,0.4519542,349.1504,354.6835,357.6512,-0.05,0.6,0.53,0.0,0.0,0.0,0,2022-04-05 PM 5:45:12
0,time,0.0063986,1.3932,0.4561204,355.0167,353.9649,357.6309,-0.05,0.6,0.53,0.0,0.0,0.0,0,2022-04-05 PM 5:45:12
0,time,0.0043857,1.38519,0.4613264,358.7635,353.6901,356.8255,-0.05,0.6,0.53,0.0,0.0,0.0,0,2022-04-05 PM 5:45:12
0,time,0.001448,1.381035,0.4676406,1.254716,353.1428,358.113,-0.0455701,1.253721,0.8369217,306.8441,305.3802,359.3646,0,2022-04-05 PM 5:45:12
0,time,-0.0009151,1.378255,0.4739306,2.708243,352.7887,358.6836,-0.012684400000000005,1.280418,0.8440545,299.6942,310.9578,359.0244,0,2022-04-05 PM 5:45:12
0,time,-0.0015215,1.374564,0.4785218,4.519328,353.3015,358.9276,-0.008869100000000005,1.308281,0.873431,298.0213,320.5238,353.1751,0,2022-04-05 PM 5:45:12
0,time,-0.0019497,1.37285,0.4811531,5.178839,353.8716,359.2369,-0.006510800000000004,1.317085,0.8897672,297.0101,326.0352,346.1813,0,2022-04-05 PM 5:45:12
1,3,-0.0024499,1.372477,0.482707,5.42612,354.1308,359.1492,-0.008790100000000002,1.3134970000000001,0.9109221,303.0207,338.8242,334.0228,0,2022-04-05 PM 5:45:13
1,3,-0.0032921,1.372452,0.4838589,5.243015,353.9471,359.285,-0.0095774,1.307697,0.9086798,304.2819,344.9431,326.8936,0,2022-04-05 PM 5:45:13
1,3,-0.0034832,1.37155,0.4836823,5.666648,354.2127,359.3286,-0.028375200000000003,1.2993860000000002,0.8812185,302.9937,330.0813,338.5443,0,2022-04-05 PM 5:45:13
1,3,-0.0030613,1.371842,0.4819896,5.325726,354.5275,359.4572,-0.0587343,1.266617,0.8474392000000001,308.6012,310.7672,350.4284,0,2022-04-05 PM 5:45:13
1,3,-0.0028144,1.373393,0.4791512,4.415814,354.8347,359.1965,-0.0838538,1.229524,0.8284383,315.0283,305.5807,351.0034,0,2022-04-05 PM 5:45:13
1,3,-0.0032591,1.376019,0.4763323,2.812655,354.8506,359.2456,-0.10542770000000001,1.190897,0.8096015,322.1177,297.1101,358.2086,0,2022-04-05 PM 5:45:13
1,3,-0.0049419,1.380597,0.4739121,359.9186,354.8305,359.7299,-0.1129444,1.176776,0.7976461,323.0754,296.9115,354.0565,0,2022-04-05 PM 5:45:13
1,3,-0.0074323,1.389102,0.4693725,354.8739,354.4521,0.5606213,-0.1189207,1.1773770000000001,0.7839212,321.1961,296.1265,350.7587,0,2022-04-05 PM 5:45:13
1,4,-0.0101556,1.396241,0.4628837,350.3197,353.8539,1.296496,-0.1293264,1.163839,0.7743229,324.5779,294.1605,352.4189,0,2022-04-05 PM 5:45:13
1,4,-0.0128071,1.399009,0.4567499,348.0593,353.3387,2.040776,-0.1387582,1.142948,0.7635632,329.0824,289.7989,359.2504,0,2022-04-05 PM 5:45:13
1,4,-0.0160215,1.402592,0.4528108,345.8315,352.5323,3.212665,-0.15155190000000002,1.12138,0.7417334,333.4674,281.3395,7.782247,0,2022-04-05 PM 5:45:14
1,4,-0.018652,1.40352,0.4512945,344.9686,352.0319,3.671334,-0.1589177,1.1082230000000002,0.7301565,334.1273,279.2747,9.199024,0,2022-04-05 PM 5:45:14
1,4,-0.021252,1.403257,0.4514314,345.041,351.3646,4.221924,-0.15849560000000001,1.110414,0.7324124,333.288,278.8734,11.33185,0,2022-04-05 PM 5:45:14
1,4,-0.0225261,1.403414,0.4512262,345.0507,350.8459,4.71278,-0.1571744,1.1137910000000002,0.7304275,330.8443,278.8154,13.48804,0,2022-04-05 PM 5:45:14
1,4,-0.0222778,1.403344,0.4506807,345.0921,350.4597,4.476778,-0.15781050000000002,1.112419,0.7304444,331.2522,279.0772,13.32145,0,2022-04-05 PM 5:45:14
1,4,-0.0225285,1.403969,0.4501442,344.9992,349.4971,4.734045,-0.1567976,1.114289,0.729535,330.9204,278.9229,13.1341,0,2022-04-05 PM 5:45:14
1,4,-0.0245165,1.405741,0.4482171,344.0209,347.8001,5.218578,-0.1540817,1.117293,0.7275259000000001,328.7603,279.1343,15.84336,0,2022-04-05 PM 5:45:14
1,4,-0.0270845,1.405878,0.4457734,343.9342,346.0983,5.756983,-0.1492783,1.1174110000000002,0.7242818,326.4593,279.9327,16.74754,0,2022-04-05 PM 5:45:14
1,5,-0.0296527,1.406788,0.4430919,343.1624,344.6843,6.224843,-0.1471677,1.117515,0.7246273,325.7751,281.3792,15.31072,0,2022-04-05 PM 5:45:14
1,5,-0.031669,1.406826,0.4407958,342.9075,343.7267,6.767952,-0.1472089,1.117083,0.7254408,326.0461,281.688,13.66406,0,2022-04-05 PM 5:45:14
1,5,-0.0330507,1.406963,0.4395908,342.7194,343.0103,7.157766,-0.1476688,1.115447,0.7270617,326.4366,282.3582,11.60703,0,2022-04-05 PM 5:45:15
1,5,-0.0320048,1.40662,0.4399496,343.0401,343.1308,6.971233,-0.1467094,1.1142370000000001,0.7279277,326.1185,282.8286,11.11739,0,2022-04-05 PM 5:45:15
1,5,-0.0296452,1.406651,0.4411546,343.1479,343.6284,6.413844,-0.14694659999999998,1.1140400000000001,0.7281243000000001,326.2304,282.8596,11.06024,0,2022-04-05 PM 5:45:15
1,5,-0.0265578,1.406758,0.4423596,343.2539,344.5869,5.764845,-0.1455436,1.1123640000000001,0.7286079,326.0044,282.9875,10.177,0,2022-04-05 PM 5:45:15
1,5,-0.0237188,1.407291,0.4433173,342.9944,345.2583,5.264652,-0.14505020000000002,1.111904,0.7287519,325.9462,283.0651,10.71306,0,2022-04-05 PM 5:45:15
1,5,-0.0208699,1.406875,0.4443275,343.366,346.3562,4.398631,-0.1446173,1.111591,0.7287724,325.8931,283.1657,10.54512,0,2022-04-05 PM 5:45:15
1,5,-0.0190796,1.406896,0.4450511,343.4059,347.0935,4.006715,-0.14425939999999998,1.112135,0.7286945,325.7548,283.2616,10.83184,0,2022-04-05 PM 5:45:15
1,5,-0.0176903,1.406851,0.4458603,343.4495,347.9386,3.765236,-0.1436045,1.111776,0.7290637,325.7627,283.4223,10.71012,0,2022-04-05 PM 5:45:15
1,6,-0.0174192,1.406705,0.4466819,343.529,348.4187,3.696367,-0.1426106,1.111256,0.7292715,325.7623,283.5521,10.71711,0,2022-04-05 PM 5:45:15
1,6,-0.0202079,1.40547,0.4473126,344.3433,346.9073,4.157809,-0.1418,1.11124,0.7292229,325.6953,283.6829,10.83103,0,2022-04-05 PM 5:45:15
1,6,-0.0251892,1.404081,0.4472988,345.0916,344.2913,4.761738,-0.1409139,1.1109310000000001,0.729522,325.5918,283.8715,10.63411,0,2022-04-05 PM 5:45:16
1,6,-0.0288969,1.403462,0.4470197,345.4555,342.7507,5.589012,-0.1404859,1.111016,0.7296696,325.565,283.9966,10.80146,0,2022-04-05 PM 5:45:16
1,6,-0.0311788,1.402596,0.4466233,345.8257,342.161,6.12686,-0.1404516,1.111148,0.7301764000000001,325.5687,284.111,10.61603,0,2022-04-05 PM 5:45:16
1,6,-0.0323167,1.402248,0.4463153,345.9954,341.937,6.378533,-0.1401127,1.111529,0.7299589,325.4864,284.1281,10.77992,0,2022-04-05 PM 5:45:16
1,6,-0.0317344,1.40242,0.4461801,345.8518,342.3932,6.144092,-0.140011,1.11158,0.7303894,325.4497,284.2186,10.71775,0,2022-04-05 PM 5:45:16
1,6,-0.0297142,1.402366,0.4465748,345.8805,343.1784,5.616124,-0.13923770000000002,1.111029,0.7301152,325.4127,284.2536,10.73152,0,2022-04-05 PM 5:45:16
1,6,-0.0261719,1.400177,0.4487715,347.17,344.6779,4.448559,-0.1382808,1.110521,0.7296306,325.3755,284.2658,10.78078,0,2022-04-05 PM 5:45:16
1,6,-0.0211148,1.393213,0.4540111,351.5421,347.1656,2.601621,-0.1381017,1.1107960000000001,0.7294459,325.3798,284.2145,10.86643,0,2022-04-05 PM 5:45:16
1,7,-0.0166287,1.386423,0.4625843,356.1317,349.3727,0.8797852,-0.1380469,1.111469,0.7297717,325.3303,284.2224,10.97295,0,2022-04-05 PM 5:45:16
1,7,-0.0150865,1.380134,0.4710969,0.0082151,349.8311,0.0273678,-0.1376281,1.1109090000000001,0.7302069,325.3252,284.2436,10.92754,0,2022-04-05 PM 5:45:16
1,7,-0.0155072,1.374359,0.4780924,3.406697,349.6079,359.6315,-0.1374611,1.1106150000000001,0.7310055,325.4054,284.3232,10.66717,0,2022-04-05 PM 5:45:17
1,7,-0.016863,1.366121,0.4834822,7.924672,349.0273,359.4576,-0.13769730000000002,1.1109570000000002,0.7310490000000001,325.413,284.3197,10.68911,0,2022-04-05 PM 5:45:17
1,7,-0.0192157,1.361587,0.4884976,10.21041,348.3878,359.3748,-0.13770749999999998,1.111304,0.7309808,325.3717,284.3171,10.72303,0,2022-04-05 PM 5:45:17
1,7,-0.0207032,1.358744,0.4911926,11.72655,348.2074,359.3534,-0.1379794,1.111072,0.7317893,325.4181,284.3764,10.63181,0,2022-04-05 PM 5:45:17
